fold,pearson_r,rmse,mae,station_mean_rmse,station_median_rmse,station_median_r,precision,recall,f1,n_test_stations,n_predictions
0,0.7321461568471015,1.2247035784573763,0.41615391301045307,1.1920441406535653,1.0636820133192262,0.8035021337067594,0.6616736281146478,0.6761848690020607,0.6688505496105409,8,30376
1,0.799374705458753,1.1766921703061295,0.3678038330147907,1.1678901244114026,1.1601560503196864,0.7857581555555485,0.7917152858809802,0.6877850988342625,0.7360998101437483,8,30560
2,0.7824621764970267,1.1798599635208638,0.3954727429451061,1.168284952844927,1.1282839162480576,0.7764365067813506,0.7475500950709375,0.6622181912412543,0.7023016145654414,8,30152
3,0.7677110009869899,1.2656180224903364,0.402045044366118,1.2521711987484552,1.2330510565409982,0.7860013478447476,0.7449956483899043,0.6703210649960846,0.7056883759274526,8,30592
4,0.7597048526537792,1.2235307307790544,0.3802321001602824,1.2023325850654043,1.206533605282048,0.7456625535187611,0.7565191913272781,0.6719583604424203,0.7117359244710909,8,30680
