fold,pearson_r,rmse,mae,station_mean_rmse,station_median_rmse,station_median_r,precision,recall,f1,n_test_stations,n_predictions
0,0.3157444132992213,1.382166545721737,0.2994175941712388,1.3700692325511477,1.3268070714526448,0.3358572138650817,0.5003673769287289,0.3942112879884226,0.44099077221952404,8,69024
1,0.35926534852241526,1.4906262530603818,0.30484179446130893,1.4540803246512677,1.5406247502448815,0.30623577213566433,0.6155083080221547,0.43132590459496684,0.5072143698468787,8,69024
2,0.3649005518239986,1.397646078741862,0.296648267149022,1.3790345880997625,1.316804703868538,0.33158239690485103,0.5985649546827795,0.4030514939605849,0.4817263125902287,8,69024
3,0.4187909817107889,1.4115361202997443,0.291547867669236,1.3551490745912016,1.4399812653642399,0.3537744353673907,0.6165318957771788,0.44270967741935485,0.5153586180998874,8,69024
4,0.32572495026493803,1.494157531237277,0.30880418420539574,1.4735529603979254,1.498474623907191,0.28569180004136646,0.5818479447071663,0.412082957619477,0.4824673855666993,8,69024
