fold,pearson_r,rmse,mae,station_mean_rmse,station_median_rmse,station_median_r,precision,recall,f1,n_test_stations,n_predictions
0,0.2899565820534978,1.1782195423632835,0.22502440246032318,1.1558260188099838,1.1564993757211524,0.32275784713410066,0.5924528301886792,0.046422235363690126,0.08609816287359473,8,64133
1,0.3064620144172892,1.3449378848670306,0.27054215356432254,1.3361259910512557,1.3015591019604578,0.31323155562929933,0.6685606060606061,0.04525060889629535,0.08476407732020651,8,63838
2,0.2913811241246224,1.314161664558496,0.25881137030643425,1.3016429770643128,1.3185400702898393,0.29486291295239686,0.66728280961183,0.04698685409345308,0.08779182879377431,8,63956
3,0.31879882684075306,1.3766853990267465,0.26553446364335354,1.3697816830981429,1.4262224795298324,0.30884079222359956,0.678030303030303,0.04732319894249835,0.0884715185963178,8,64111
4,0.2876996254333789,1.309995418595266,0.25653810765496293,1.2941143044280339,1.2439131216002663,0.29287701840073094,0.6580882352941176,0.04708048395581273,0.08787432498772704,8,64121
