fold,pearson_r,rmse,mae,station_mean_rmse,station_median_rmse,station_median_r,precision,recall,f1,n_test_stations,n_predictions
0,0.7308883768905245,1.2113881142580936,0.4145500528563262,1.1790311013379966,1.0686709518698243,0.7989366188119762,0.6507914659325533,0.6839288297410675,0.6669487939060517,8,30992
1,0.7879279644036683,1.2007131885072302,0.37664458946792156,1.1933798701762472,1.1958830524977797,0.7826598695506306,0.7771041872268434,0.6878821914389117,0.729776247848537,8,31152
2,0.7861165160922348,1.1647644429076238,0.398062190181932,1.1548092920428323,1.1289632328908854,0.7848361714916986,0.7377513452279807,0.6642866250159378,0.6990942636699095,8,30744
3,0.7535437206560027,1.2977535325897647,0.4098981920143443,1.2844247383286516,1.2498972476942085,0.768380310450106,0.7327707454289732,0.6688920272178713,0.699375797033358,8,31192
4,0.756438055978561,1.2253733812339724,0.38438167612059726,1.2030186343188385,1.200504505920194,0.7445540192161304,0.7465450918934321,0.671967171069505,0.7072956738881016,8,31272
