fold,pearson_r,rmse,mae,station_mean_rmse,station_median_rmse,station_median_r,precision,recall,f1,n_test_stations
0,0.7895314174598097,0.7575526664859813,0.15885561151090877,0.7187183749689312,0.5857938927802642,0.8857800000803004,0.7298380878951426,0.6733532508180395,0.7004587834837945,8
1,0.8987102823487291,0.5839738883420386,0.12233099672314038,0.5723529938557843,0.5771985916628251,0.8974072717680158,0.8730529595015576,0.6910368635186783,0.7714541325442158,8
2,0.8661835657931478,0.6394426506877194,0.13398754999393303,0.6262430685835862,0.615414612213786,0.8639343300579879,0.8496252591293255,0.6665832603528087,0.7470555243970836,8
3,0.8485685300084247,0.7133563087447634,0.1402513829824031,0.6933391886438115,0.6993396922960897,0.8593729471751607,0.8394574988172212,0.6755933494098236,0.7486638537271448,8
4,0.8661512080844904,0.6401328023292946,0.13003654812106955,0.6198228965701553,0.574961605393649,0.8838336429979194,0.8420888542478566,0.6856200025383932,0.7558416118651182,8
