fold,pearson_r,rmse,mae,station_mean_rmse,station_median_rmse,station_median_r,precision,recall,f1,n_test_stations
0,0.6476607379903088,0.6250121055141845,0.11386549957521598,0.605572149474392,0.6257426882768077,0.6174723225953787,0.629046967624259,0.7183025253840146,0.6707183663546857,8
1,0.6735582020516889,0.5755274076990575,0.11322653020950922,0.56564358396474,0.5737479710527678,0.6772087958060171,0.6093816631130063,0.7421448974292392,0.6692424774616555,8
2,0.612582206728947,0.6302316555346246,0.11268032651165802,0.6235383129980119,0.6219798093733325,0.6137873052380224,0.5933174224343676,0.6876901798063624,0.6370275464445868,8
3,0.7458843367485387,0.45874269173631554,0.0915890947090528,0.44221670405275093,0.38804086553392025,0.7267127342838474,0.6629454701588665,0.6675313445741461,0.6652305040930633,5
4,0.7709809512400962,0.42312913635558674,0.08105375768997647,0.4185693133324096,0.39838110030760343,0.7909253548735111,0.5975773889636609,0.8382630585273757,0.6977475117862756,4
